experiment_id,phase,config_description,hash_mode,rate_limit,lockout,captcha,pepper,totp,attack_type,target,target_category,success,total_attempts,time_to_crack,total_time_seconds,avg_latency_ms,attempts_per_second
1,2,Phase 2: ARGON2ID - CAPTCHA,ARGON2ID,False,False,True,False,False,brute_force,medium_user_01,medium,False,1,,0.2717862129211426,271.7863000879743,3.6793625005921293
2,2,Phase 2: ARGON2ID - LOCKOUT,ARGON2ID,False,True,False,False,False,brute_force,medium_user_01,medium,True,126,7550.361363649368,7550.361363649368,254.1925472163288,0.016687942991260956
3,2,Phase 2: ARGON2ID - LOCKOUT + CAPTCHA,ARGON2ID,False,True,True,False,False,brute_force,medium_user_01,medium,False,1,,0.23501944541931152,235.01950034609635,4.254967065452151
4,1,Phase 1: ARGON2ID - No protections,ARGON2ID,False,False,False,False,False,brute_force,medium_user_01,medium,True,151,37.2177050113678,37.2177050113678,248.23897917758046,4.057208792263748
5,2,Phase 2: ARGON2ID - PEPPER,ARGON2ID,False,False,False,True,False,brute_force,medium_user_01,medium,True,151,37.28119158744812,37.28119158744812,248.33139946944658,4.050299724079605
6,2,Phase 2: ARGON2ID - RATE_LIMIT,ARGON2ID,True,False,False,False,False,brute_force,medium_user_01,medium,True,151,112.42540550231934,112.42540550231934,249.42186704673048,1.3431127895454633
7,2,Phase 2: ARGON2ID - RATE_LIMIT + CAPTCHA,ARGON2ID,True,False,True,False,False,brute_force,medium_user_01,medium,False,1,,0.20653891563415527,206.53885349930857,4.841702576628761
8,2,Phase 2: ARGON2ID - RATE_LIMIT + LOCKOUT,ARGON2ID,True,True,False,False,False,brute_force,medium_user_01,medium,True,126,7549.725618600845,7549.725618600845,247.2888876372121,0.016689348244598983
9,2,Phase 2: ARGON2ID - RATE_LIMIT + LOCKOUT + CAPTCHA + PEPPER + TOTP,ARGON2ID,True,True,True,True,True,brute_force,medium_user_01,medium,False,1,,0.21110296249389648,211.10296480016257,4.73702494833019
10,2,Phase 2: ARGON2ID - TOTP,ARGON2ID,False,False,False,False,True,brute_force,medium_user_01,medium,False,100,,24.487043857574463,244.87044354583978,4.083792252818932
11,2,Phase 2: BCRYPT - CAPTCHA,BCRYPT,False,False,True,False,False,brute_force,medium_user_01,medium,False,1,,0.3679924011230469,367.9924845451843,2.7174474172514955
12,2,Phase 2: BCRYPT - LOCKOUT,BCRYPT,False,True,False,False,False,brute_force,medium_user_01,medium,True,126,7559.50363111496,7559.50363111496,345.6005510534732,0.016667761026184745
13,2,Phase 2: BCRYPT - LOCKOUT + CAPTCHA,BCRYPT,False,True,True,False,False,brute_force,medium_user_01,medium,False,1,,0.3804342746734619,380.43432861657755,2.6285749380975987
14,1,Phase 1: BCRYPT - No protections,BCRYPT,False,False,False,False,False,brute_force,medium_user_01,medium,True,151,52.710084438323975,52.710084438323975,351.3610747460339,2.864726960866188
15,2,Phase 2: BCRYPT - PEPPER,BCRYPT,False,False,False,True,False,brute_force,medium_user_01,medium,True,151,52.73819375038147,52.73819375038147,351.7563911167394,2.863200069283901
16,2,Phase 2: BCRYPT - RATE_LIMIT,BCRYPT,True,False,False,False,False,brute_force,medium_user_01,medium,True,151,127.46326899528503,127.46326899528503,349.80315887252215,1.184655008381949
17,2,Phase 2: BCRYPT - RATE_LIMIT + CAPTCHA,BCRYPT,True,False,True,False,False,brute_force,medium_user_01,medium,False,1,,0.37305378913879395,373.05382098010443,2.680578589775299
18,2,Phase 2: BCRYPT - RATE_LIMIT + LOCKOUT,BCRYPT,True,True,False,False,False,brute_force,medium_user_01,medium,True,126,7559.762039422989,7559.762039422989,347.99733655653665,0.01666719128762645
19,2,Phase 2: BCRYPT - RATE_LIMIT + LOCKOUT + CAPTCHA + PEPPER + TOTP,BCRYPT,True,True,True,True,True,brute_force,medium_user_01,medium,False,1,,0.363436222076416,363.4362271460467,2.7515144040588786
20,2,Phase 2: BCRYPT - TOTP,BCRYPT,False,False,False,False,True,brute_force,medium_user_01,medium,False,100,,35.11983942985535,351.1983857023848,2.8473934284275253
21,2,Phase 2: SHA256 - CAPTCHA,SHA256,False,False,True,False,False,brute_force,medium_user_01,medium,False,1,,0.14504456520080566,145.04459177149232,6.894432746346331
22,2,Phase 2: SHA256 - LOCKOUT,SHA256,False,True,False,False,False,brute_force,medium_user_01,medium,True,126,7540.433883666992,7540.433883666992,152.7105561244128,0.01670991377206067
23,2,Phase 2: SHA256 - LOCKOUT + CAPTCHA,SHA256,False,True,True,False,False,brute_force,medium_user_01,medium,False,1,,0.12780547142028809,127.80551713636352,7.824391153892791
24,1,Phase 1: SHA256 - No protections,SHA256,False,False,False,False,False,brute_force,medium_user_01,medium,True,151,22.644179344177246,22.644179344177246,150.9531219449966,6.668380324360411
25,2,Phase 2: SHA256 - PEPPER,SHA256,False,False,False,True,False,brute_force,medium_user_01,medium,True,151,22.64610719680786,22.64610719680786,151.11754767887885,6.667812648227885
